source_id,publisher,title,edition,publication_date,url,retrieved_at,license,terms_notes,method_summary,sample_notes,known_biases,is_vendor_or_stakeholder
PIAAC_OECD,"OECD Programme for the International Assessment of Adult Competencies (PIAAC) - Skills for a Digital World","3rd ed.","2023-06","https://www.oecd.org/education/skills-for-a-digital-world-95a9a7a3-en.html","2026-09-19","CC BY-NC-SA 4.0","Data from International Database, public microdata available","Survey of adults' skills in numeracy, literacy and problem solving in technology-rich environments","Sample: 39 countries, 200,000+ respondents aged 16-65. Adaptive testing algorithm, IRT scaling","OECD countries overrepresented, survey language/cultural biases, missing Middle East/Africa",false
PISA_OECD,"PISA 2022 Results - Digital Reading","1st ed.","2023-12","https://www.oecd.org/pisa/results/pisa2022-volume-v/","2026-09-19","CC BY-NC-SA 4.0","Data from public database, public use files available","Assessment of 15-year-olds' digital reading literacy skills across 81 participating countries","Sample: 81 countries, ~700,000 students. Computer-based assessment with multiple item formats","Focus on youth (15-year-olds), may not represent adult population",false
LINKEDIN_LinkedIn,"LinkedIn Global Skills Gap Index 2023","2nd ed.","2023-09","https://economicgraph.linkedin.com/content/dam/economicgraph/global-reports/LinkedIn-Skills-Gap-2023.pdf","2026-09-19","Custom: LinkedIn Terms of Service","License terms not explicitly stated for research use","Analysis of job postings vs. profile skills to identify supply-demand gaps for AI skills","Sample: 200M+ professional profiles, 8B+ job postings globally. Skills taxonomy matching algorithm","Vendor bias (LinkedIn platform data), overrepresents white-collar professionals, platform-specific skill definitions",true
UNESCO_STEM,"UNESCO Institute for Statistics - Tertiary STEM Enrollment","Database snapshot","2023-12","https://uis.unesco.org/","2026-09-19","CC BY 4.0","Open license, requires attribution","Compilation of enrollment data in science, technology, engineering and mathematics fields from national statistics","Sample: 190+ UNESCO member states. Official government statistics","Varies data quality across countries, inconsistent reporting on what constitutes 'STEM'",false
ITU_SKILLS,"International Telecommunication Union - Digital Skills Index","2023 ed.","2023-09","https://www.itu.int/en/ITU-D/Statistics/Pages/facts/default.aspx","2026-09-19","CC BY-SA 4.0","Open license, requires attribution","Composite index measuring digital skills adoption based on household surveys","Sample: 180+ countries. Composite of multiple indicators: computer literacy, internet usage, etc.","Methodology varies across countries, general digital skills not AI-specific",false
WGI_WorldBank,"Worldwide Governance Indicators (WGI)","2023 Update","2023-09","https://info.worldbank.org/governance/wgi/Home/","2026-09-19","CC BY 4.0","Open license, requires attribution","Six aggregate indicators measuring governance quality: voice, political stability, government effectiveness, regulatory quality, rule of law, control of corruption","Sample: 215 countries and territories. Survey-based with statistical processing","Subjective survey assessments, may not reflect reality, missing data for some fragile states",false
VDEM_Vdem,"Varieties of Democracy (V-Dem) Institute - Democracy Indices","2023 ed.","2023-05","https://www.v-dem.net/data-access/data-download/","2026-09-19","CC BY-SA 4.0","Open license, requires attribution","Comprehensive dataset with hundreds of indicators measuring different aspects of democracy and institutional quality","Sample: 202 countries. Expert assessments and alternative sources","Expert survey methodology, may introduce subjectivity, Western-centric conception of democracy",false
FREEDOM_House,"Freedom House - Freedom in the World","2023 ed.","2023-02","https://freedomhouse.org/report/freedom-world/freedom-world-2023","2026-09-19","Custom: Freedom House Terms","License terms vary by usage, attribution required","Annual assessment of political rights and civil liberties worldwide","Sample: 195 countries. Expert assessments and country reports","Methodology unclear, potential political bias in ratings",false
OXFORD_AI,"Oxford Insights - Government AI Readiness Index","4th ed.","2023-01","https://oxfordinsights.com/government-ai-readiness-index/","2026-09-19","Custom: Oxford Insights Terms","Academic use permitted with attribution","Composite index measuring government readiness to adopt AI through 22 indicators","Sample: 181 countries. Assessment based on policy, strategy, and implementation data","Focuses on government readiness, not individual or societal readiness",false
IMF_AI,"International Monetary Fund - AI Preparedness Index","1st ed.","2023-10","https://www.imf.org/en/Publications/fandd/issues/2023/10/artificial-intelligence-readiness-preparedness-index--AI-PI--Nita-Bhushan-and-Anna-Ivanova","2026-09-19","Custom: IMF Terms","Academic use permitted with attribution","Index measuring countries' readiness for AI adoption across four pillars: digital infrastructure, human capital, innovation environment, government readiness","Sample: 125 countries. Analysis based on existing data from WEF, OECD, UNESCO, etc.","Uses third-party data with varying methodologies, narrow scope of indicators",false
OECD_AI_Policy,"OECD AI Policy Observatory","Database","2023-12","https://oecd.ai/policy-observatory","2026-09-19","CC BY-NC-SA 4.0","Open license, requires attribution","Comprehensive database of AI-related policies and regulations worldwide","Sample: OECD+ countries with expansion plans. Policy tracking database","Focus on formal policies, may not capture implementation reality",false
